Model,Accuracy,F1,ROC_AUC
LR,0.806475821020711,0.5981088005030599,0.8489488225356105
GBM,0.8019302656623009,0.5798063459194415,0.8441447315183778
Adaboost,0.8007935995870701,0.5772545566891055,0.8430718933651373
SVM,0.7995185173236983,0.5725695780523002,0.8016707007693806
CatBoost,0.7983838675075812,0.5763723115890044,0.840536769670243
LightGBM,0.7936962666946255,0.5715085667920572,0.8343826335671194
RF,0.7901468441512355,0.5537747991642925,0.8262438553886693
XGBoost,0.7834752443706046,0.5571435859230934,0.821495703322346
KNN,0.7708382395638429,0.5488375848861892,0.7825208445298666
CART,0.7315072746628815,0.5034318025056423,0.6624872519888896
